## System ID,Tag Name,Retentive Mode,Initial Value,MODBUS Start Address,MODBUS End Address,Number of Characters,Number of Rows,Number of Columns,Wiring Label,Comment,Forceable,Init Forced,Init Force Value,Remote Access,I/O Address,Data Type,Structure Type,BOW Details
## 3.0
SWR-001503,"Avg Scan Interval [x100=usec]",false,"0",,,,,,,"average overall scan time",,,,false,,"SWR",,false
SBR-001006,"Battery Disabled",false,"0",,,,,,,"On if the ""CPU Battery Alarm"" is disabled in H/W Configuration",,,,false,,"SBR",,false
SBR-001005,"Battery Low Bit",false,"0",,,,,,,"On if the battery is weak (""CPU Battery Alarm"" in H/W Configuration)",,,,false,,"SBR",,false
SWR-001518,"Battery Voltage",false,"0",,,,,,,"battery voltage in 10ths of a volt",,,,false,,"SWR",,false
SSTR-000041,"CPU Event Log String 01",false,,,,50,,,,"most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000042,"CPU Event Log String 02",false,,,,50,,,,"2nd most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000043,"CPU Event Log String 03",false,,,,50,,,,"3rd most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000044,"CPU Event Log String 04",false,,,,50,,,,"4th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000045,"CPU Event Log String 05",false,,,,50,,,,"5th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000046,"CPU Event Log String 06",false,,,,50,,,,"6th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000047,"CPU Event Log String 07",false,,,,50,,,,"7th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000048,"CPU Event Log String 08",false,,,,50,,,,"8th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000049,"CPU Event Log String 09",false,,,,50,,,,"9th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000050,"CPU Event Log String 10",false,,,,50,,,,"10th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000051,"CPU Event Log String 11",false,,,,50,,,,"11th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000052,"CPU Event Log String 12",false,,,,50,,,,"12th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000053,"CPU Event Log String 13",false,,,,50,,,,"13th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000054,"CPU Event Log String 14",false,,,,50,,,,"14th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000055,"CPU Event Log String 15",false,,,,50,,,,"15th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000056,"CPU Event Log String 16",false,,,,50,,,,"16th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000057,"CPU Event Log String 17",false,,,,50,,,,"17th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000058,"CPU Event Log String 18",false,,,,50,,,,"18th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000059,"CPU Event Log String 19",false,,,,50,,,,"19th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000060,"CPU Event Log String 20",false,,,,50,,,,"20th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000101,"CPU Model Name",false,,,,50,,,,"CPU Model (ex: ""P3-550"")",,,,false,,"SSTR",,false
SSTR-000102,"CPU Program File Name",false,,,,50,,,,"CPU program file name",,,,false,,"SSTR",,false
SBR-001001,"CPU in Run",false,"0",,,,,,,"On during Run or Debug mode",,,,false,,"SBR",,false
SWR-001523,"Clock Day",false,"0",,,,,,,"current Real Time Clock Calendar Day",,,,false,,"SWR",,false
SWRW-001754,"Clock Day Set",false,"0",,,,,,,"new Real Time Clock Day (set all 3 date values then set ""Initiate_New_Date"" on)",,,,false,,"SWRW",,false
SWR-001522,"Clock Day of Week",false,"0",,,,,,,"current Real Time Clock Day of the week (1=Mon ...7=Sun)",,,,false,,"SWR",,false
SWR-001521,"Clock Hours",false,"0",,,,,,,"current Real Time Clock Hours",,,,false,,"SWR",,false
SWRW-001753,"Clock Hours Set",false,"0",,,,,,,"new Real Time Clock Hours (set all 3 time values then set ""Initiate_New_Time"" on)",,,,false,,"SWRW",,false
SWR-001520,"Clock Minutes",false,"0",,,,,,,"current Real Time Clock Minutes",,,,false,,"SWR",,false
SWRW-001752,"Clock Minutes Set",false,"0",,,,,,,"new Real Time Clock Minutes (set all 3 time values then set ""Initiate_New_Time"" on)",,,,false,,"SWRW",,false
SWR-001524,"Clock Month",false,"0",,,,,,,"current Real Time Clock Calendar Month",,,,false,,"SWR",,false
SWRW-001755,"Clock Month Set",false,"0",,,,,,,"new Real Time Clock Month (set all 3 date values then set ""Initiate_New_Date"" on)",,,,false,,"SWRW",,false
SWR-001519,"Clock Seconds",false,"0",,,,,,,"current Real Time Clock Seconds",,,,false,,"SWR",,false
SWRW-001751,"Clock Seconds Set",false,"0",,,,,,,"new Real Time Clock Seconds (set all 3 time values then set ""Initiate_New_Time"" on)",,,,false,,"SWRW",,false
SWR-001525,"Clock Year",false,"0",,,,,,,"current Real Time Clock Calendar Year",,,,false,,"SWR",,false
SWRW-001756,"Clock Year Set",false,"0",,,,,,,"new Real Time Clock Year (set all 3 date values then set ""Initiate_New_Date"" on)",,,,false,,"SWRW",,false
SBR-001012,"Critical Error Bit",false,"0",,,,,,,"On when a critical error is active",,,,false,,"SBR",,false
SWR-000001,"Critical Error Log 01",false,"0",,,,,,,"most recent critical error",,,,false,,"SWR",,false
SWR-000002,"Critical Error Log 02",false,"0",,,,,,,"2nd most recent critical error",,,,false,,"SWR",,false
SWR-000003,"Critical Error Log 03",false,"0",,,,,,,"3rd most recent critical error",,,,false,,"SWR",,false
SWR-000004,"Critical Error Log 04",false,"0",,,,,,,"4th most recent critical error",,,,false,,"SWR",,false
SWR-000005,"Critical Error Log 05",false,"0",,,,,,,"5th most recent critical error",,,,false,,"SWR",,false
SWR-000006,"Critical Error Log 06",false,"0",,,,,,,"6th most recent critical error",,,,false,,"SWR",,false
SWR-000007,"Critical Error Log 07",false,"0",,,,,,,"7th most recent critical error",,,,false,,"SWR",,false
SWR-000008,"Critical Error Log 08",false,"0",,,,,,,"8th most recent critical error",,,,false,,"SWR",,false
SWR-000009,"Critical Error Log 09",false,"0",,,,,,,"9th most recent critical error",,,,false,,"SWR",,false
SWR-000010,"Critical Error Log 10",false,"0",,,,,,,"10th most recent critical error",,,,false,,"SWR",,false
SWR-000011,"Critical Error Log 11",false,"0",,,,,,,"11th most recent critical error",,,,false,,"SWR",,false
SWR-000012,"Critical Error Log 12",false,"0",,,,,,,"12th most recent critical error",,,,false,,"SWR",,false
SWR-000013,"Critical Error Log 13",false,"0",,,,,,,"13th most recent critical error",,,,false,,"SWR",,false
SWR-000014,"Critical Error Log 14",false,"0",,,,,,,"14th most recent critical error",,,,false,,"SWR",,false
SWR-000015,"Critical Error Log 15",false,"0",,,,,,,"15th most recent critical error",,,,false,,"SWR",,false
SWR-000016,"Critical Error Log 16",false,"0",,,,,,,"16th most recent critical error",,,,false,,"SWR",,false
SWR-000017,"Critical Error Log 17",false,"0",,,,,,,"17th most recent critical error",,,,false,,"SWR",,false
SWR-000018,"Critical Error Log 18",false,"0",,,,,,,"18th most recent critical error",,,,false,,"SWR",,false
SWR-000019,"Critical Error Log 19",false,"0",,,,,,,"19th most recent critical error",,,,false,,"SWR",,false
SWR-000020,"Critical Error Log 20",false,"0",,,,,,,"20th most recent critical error",,,,false,,"SWR",,false
SSTR-000001,"Critical Error Log String 01",false,,,,50,,,,"most recent critical error message",,,,false,,"SSTR",,false
SSTR-000002,"Critical Error Log String 02",false,,,,50,,,,"2nd most recent critical error message",,,,false,,"SSTR",,false
SSTR-000003,"Critical Error Log String 03",false,,,,50,,,,"3rd most recent critical error message",,,,false,,"SSTR",,false
SSTR-000004,"Critical Error Log String 04",false,,,,50,,,,"4th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000005,"Critical Error Log String 05",false,,,,50,,,,"5th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000006,"Critical Error Log String 06",false,,,,50,,,,"6th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000007,"Critical Error Log String 07",false,,,,50,,,,"7th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000008,"Critical Error Log String 08",false,,,,50,,,,"8th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000009,"Critical Error Log String 09",false,,,,50,,,,"9th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000010,"Critical Error Log String 10",false,,,,50,,,,"10th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000011,"Critical Error Log String 11",false,,,,50,,,,"11th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000012,"Critical Error Log String 12",false,,,,50,,,,"12th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000013,"Critical Error Log String 13",false,,,,50,,,,"13th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000014,"Critical Error Log String 14",false,,,,50,,,,"14th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000015,"Critical Error Log String 15",false,,,,50,,,,"15th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000016,"Critical Error Log String 16",false,,,,50,,,,"16th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000017,"Critical Error Log String 17",false,,,,50,,,,"17th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000018,"Critical Error Log String 18",false,,,,50,,,,"18th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000019,"Critical Error Log String 19",false,,,,50,,,,"19th most recent critical error message",,,,false,,"SSTR",,false
SSTR-000020,"Critical Error Log String 20",false,,,,50,,,,"20th most recent critical error message",,,,false,,"SSTR",,false
SWR-001510,"Current Critical Error",false,"0",,,,,,,"current critical error number",,,,false,,"SWR",,false
SWR-001516,"Current I/O Config Error Base",false,"0",,,,,,,"I/O base in which ""I/O Configuration Error"" occurred",,,,false,,"SWR",,false
SWR-001515,"Current I/O Config Error Group",false,"0",,,,,,,"I/O group in which ""I/O Configuration Error"" occurred",,,,false,,"SWR",,false
SWR-001517,"Current I/O Config Error Slot",false,"0",,,,,,,"I/O slot in which ""I/O Configuration Error"" occurred",,,,false,,"SWR",,false
SWR-001511,"Current Non-critical Error",false,"0",,,,,,,"current noncritical error number",,,,false,,"SWR",,false
DI-0.1.1.1,"DI-0.1.1.1",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.1.1","DI",,false
DI-0.1.1.2,"DI-0.1.1.2",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.1.2","DI",,false
DI-0.1.1.3,"DI-0.1.1.3",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.1.3","DI",,false
DI-0.1.1.4,"DI-0.1.1.4",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.1.4","DI",,false
DI-0.1.1.5,"DI-0.1.1.5",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.1.5","DI",,false
DI-0.1.1.6,"DI-0.1.1.6",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.1.6","DI",,false
DI-0.1.1.7,"DI-0.1.1.7",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.1.7","DI",,false
DI-0.1.1.8,"DI-0.1.1.8",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.1.8","DI",,false
DI-0.1.2.1,"DI-0.1.2.1",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.2.1","DI",,false
DI-0.1.2.10,"DI-0.1.2.10",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.2.10","DI",,false
DI-0.1.2.11,"DI-0.1.2.11",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.2.11","DI",,false
DI-0.1.2.12,"DI-0.1.2.12",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.2.12","DI",,false
DI-0.1.2.13,"DI-0.1.2.13",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.2.13","DI",,false
DI-0.1.2.14,"DI-0.1.2.14",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.2.14","DI",,false
DI-0.1.2.15,"DI-0.1.2.15",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.2.15","DI",,false
DI-0.1.2.16,"DI-0.1.2.16",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.2.16","DI",,false
DI-0.1.2.2,"DI-0.1.2.2",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.2.2","DI",,false
DI-0.1.2.3,"DI-0.1.2.3",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.2.3","DI",,false
DI-0.1.2.4,"DI-0.1.2.4",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.2.4","DI",,false
DI-0.1.2.5,"DI-0.1.2.5",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.2.5","DI",,false
DI-0.1.2.6,"DI-0.1.2.6",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.2.6","DI",,false
DI-0.1.2.7,"DI-0.1.2.7",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.2.7","DI",,false
DI-0.1.2.8,"DI-0.1.2.8",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.2.8","DI",,false
DI-0.1.2.9,"DI-0.1.2.9",false,"0",,,,,,,,false,false,"0",false,"DI-0.1.2.9","DI",,false
DO-0.1.3.1,"DO-0.1.3.1",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.3.1","DO",,false
DO-0.1.3.10,"DO-0.1.3.10",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.3.10","DO",,false
DO-0.1.3.11,"DO-0.1.3.11",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.3.11","DO",,false
DO-0.1.3.12,"DO-0.1.3.12",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.3.12","DO",,false
DO-0.1.3.13,"DO-0.1.3.13",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.3.13","DO",,false
DO-0.1.3.14,"DO-0.1.3.14",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.3.14","DO",,false
DO-0.1.3.15,"DO-0.1.3.15",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.3.15","DO",,false
DO-0.1.3.16,"DO-0.1.3.16",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.3.16","DO",,false
DO-0.1.3.2,"DO-0.1.3.2",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.3.2","DO",,false
DO-0.1.3.3,"DO-0.1.3.3",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.3.3","DO",,false
DO-0.1.3.4,"DO-0.1.3.4",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.3.4","DO",,false
DO-0.1.3.5,"DO-0.1.3.5",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.3.5","DO",,false
DO-0.1.3.6,"DO-0.1.3.6",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.3.6","DO",,false
DO-0.1.3.7,"DO-0.1.3.7",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.3.7","DO",,false
DO-0.1.3.8,"DO-0.1.3.8",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.3.8","DO",,false
DO-0.1.3.9,"DO-0.1.3.9",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.3.9","DO",,false
DO-0.1.4.1,"DO-0.1.4.1",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.4.1","DO",,false
DO-0.1.4.2,"DO-0.1.4.2",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.4.2","DO",,false
DO-0.1.4.3,"DO-0.1.4.3",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.4.3","DO",,false
DO-0.1.4.4,"DO-0.1.4.4",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.4.4","DO",,false
DO-0.1.4.5,"DO-0.1.4.5",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.4.5","DO",,false
DO-0.1.4.6,"DO-0.1.4.6",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.4.6","DO",,false
DO-0.1.4.7,"DO-0.1.4.7",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.4.7","DO",,false
DO-0.1.4.8,"DO-0.1.4.8",false,"0",,,,,,,,false,false,"0",false,"DO-0.1.4.8","DO",,false
SWR-001526,"Ethernet Speed [External]",false,"0",,,,,,,"""Ethernet"" port speed (Ethernet 10 or 100)",,,,false,,"SWR",,false
SWR-001527,"Ethernet Speed [Internal]",false,"0",,,,,,,"""Remote I/O"" port speed (Ethernet 10 or 100)",,,,false,,"SWR",,false
SBR-001004,"Every Other Scan Bit",false,"0",,,,,,,"toggles at the start of each scan",,,,false,,"SBR",,false
SWR-001509,"Firmware Version",false,"0",,,,,,,"CPU Firmware Version Number in Hex (ex: 0x0102 is version 01.02 or 1.2)",,,,false,,"SWR",,false
SSTR-000104,"Firmware Version[CPU]",false,,,,50,,,,"CPU firmware version viewed as 001.000.009.023",,,,false,,"SSTR",,false
SWR-001528,"Firmware Version[major]",false,"0",,,,,,,"CPU firmware Major version number in hex. (ex:  0x0100 =  major version 1.0)",,,,false,,"SWR",,false
SWR-001529,"Firmware Version[minor]",false,"0",,,,,,,"CPU firmware Minor version number in hex. (ex: 0x0917 = minor version 9.23)",,,,false,,"SWR",,false
SBR-001003,"First Scan Bit",false,"0",,,,,,,"On during first scan in Run or Debug mode",,,,false,,"SBR",,false
SWR-001530,"First Scan Interval [x100=usec]",false,"0",,,,,,,"Holds the value of the First Scan time",,,,false,,"SWR",,false
SBR-001007,"Forces Enabled",false,"0",,,,,,,"On if any forces are enabled",,,,false,,"SBR",,false
SBR-001015,"I/O Configuration Error",false,"0",,,,,,,"On if actual I/O configuration and project I/O configuration do not match",,,,false,,"SBR",,false
SBR-001014,"I/O Error",false,"0",,,,,,,"On for any module error (such as a blown fuse)",,,,false,,"SBR",,false
SWRW-001758,"Identify Module Base Number",false,"0",,,,,,,"base number of module to be identified (See ""Requested Module Name"" tag)",,,,false,,"SWRW",,false
SWRW-001757,"Identify Module Group Number",false,"0",,,,,,,"group number of module to be identified (See ""Requested Module Name"" tag)",,,,false,,"SWRW",,false
SBRW-001005,"Identify Module Request bit",false,"0",,,,,,,"set On to refresh ""Requested Module Name"" tag per the 3 ""Identify"" GBS tags",,,,false,,"SBRW",,false
SWRW-001759,"Identify Module Slot Number",false,"0",,,,,,,"slot number of module to be identified (See ""Requested Module Name"" tag)",,,,false,,"SWRW",,false
SBRW-001002,"Initiate_New_Date",false,"0",,,,,,,"set On to change clock date (see ""Clock Year Set"" tag)",,,,false,,"SBRW",,false
SBRW-001001,"Initiate_New_Time",false,"0",,,,,,,"set On to change clock time (see ""Clock Hours Set"" tag)",,,,false,,"SBRW",,false
SWR-001504,"Last Logic Scan Time [x100=usec]",false,"0",,,,,,,"most recent logic scan time",,,,false,,"SWR",,false
SWR-001501,"Last Scan Interval [x100=usec]",false,"0",,,,,,,"most recent overall scan time",,,,false,,"SWR",,false
MST-0.0.0.1,"MST-0.0.0.1",false,"0",,,,,,,"RS232 Heartbeat Timeout Bit",false,false,"0",false,"MST-0.0.0.1","MST",,false
MST-0.0.0.2,"MST-0.0.0.2",false,"0",,,,,,,"RS232 Port Buffer Full Bit (95% Full)",false,false,"0",false,"MST-0.0.0.2","MST",,false
MST-0.0.0.3,"MST-0.0.0.3",false,"0",,,,,,,"RS232 Port Ready Bit",false,false,"0",false,"MST-0.0.0.3","MST",,false
MST-0.0.0.33,"MST-0.0.0.33",false,"0",,,,,,,"RS485 Heartbeat Timeout Bit",false,false,"0",false,"MST-0.0.0.33","MST",,false
MST-0.0.0.34,"MST-0.0.0.34",false,"0",,,,,,,"RS485 Port Buffer Full Bit (95% Full)",false,false,"0",false,"MST-0.0.0.34","MST",,false
MST-0.0.0.35,"MST-0.0.0.35",false,"0",,,,,,,"RS485 Port Ready Bit",false,false,"0",false,"MST-0.0.0.35","MST",,false
MST-0.0.0.65,"MST-0.0.0.65",false,"0",,,,,,,"Ethernet Heartbeat Timeout Bit",false,false,"0",false,"MST-0.0.0.65","MST",,false
MST-0.0.0.66,"MST-0.0.0.66",false,"0",,,,,,,"Ethernet Port Buffer Full Bit (95% Full)",false,false,"0",false,"MST-0.0.0.66","MST",,false
MST-0.0.0.67,"MST-0.0.0.67",false,"0",,,,,,,"Ethernet Port Ready Bit",false,false,"0",false,"MST-0.0.0.67","MST",,false
MST-0.1.3.1,"MST-0.1.3.1",false,"0",,,,,,,"Fault (1)",false,false,"0",false,"MST-0.1.3.1","MST",,false
MST-0.1.3.10,"MST-0.1.3.10",false,"0",,,,,,,"Fault (10)",false,false,"0",false,"MST-0.1.3.10","MST",,false
MST-0.1.3.11,"MST-0.1.3.11",false,"0",,,,,,,"Fault (11)",false,false,"0",false,"MST-0.1.3.11","MST",,false
MST-0.1.3.12,"MST-0.1.3.12",false,"0",,,,,,,"Fault (12)",false,false,"0",false,"MST-0.1.3.12","MST",,false
MST-0.1.3.13,"MST-0.1.3.13",false,"0",,,,,,,"Fault (13)",false,false,"0",false,"MST-0.1.3.13","MST",,false
MST-0.1.3.14,"MST-0.1.3.14",false,"0",,,,,,,"Fault (14)",false,false,"0",false,"MST-0.1.3.14","MST",,false
MST-0.1.3.15,"MST-0.1.3.15",false,"0",,,,,,,"Fault (15)",false,false,"0",false,"MST-0.1.3.15","MST",,false
MST-0.1.3.16,"MST-0.1.3.16",false,"0",,,,,,,"Fault (16)",false,false,"0",false,"MST-0.1.3.16","MST",,false
MST-0.1.3.17,"MST-0.1.3.17",false,"0",,,,,,,"Missing 24V",false,false,"0",false,"MST-0.1.3.17","MST",,false
MST-0.1.3.2,"MST-0.1.3.2",false,"0",,,,,,,"Fault (2)",false,false,"0",false,"MST-0.1.3.2","MST",,false
MST-0.1.3.3,"MST-0.1.3.3",false,"0",,,,,,,"Fault (3)",false,false,"0",false,"MST-0.1.3.3","MST",,false
MST-0.1.3.4,"MST-0.1.3.4",false,"0",,,,,,,"Fault (4)",false,false,"0",false,"MST-0.1.3.4","MST",,false
MST-0.1.3.5,"MST-0.1.3.5",false,"0",,,,,,,"Fault (5)",false,false,"0",false,"MST-0.1.3.5","MST",,false
MST-0.1.3.6,"MST-0.1.3.6",false,"0",,,,,,,"Fault (6)",false,false,"0",false,"MST-0.1.3.6","MST",,false
MST-0.1.3.7,"MST-0.1.3.7",false,"0",,,,,,,"Fault (7)",false,false,"0",false,"MST-0.1.3.7","MST",,false
MST-0.1.3.8,"MST-0.1.3.8",false,"0",,,,,,,"Fault (8)",false,false,"0",false,"MST-0.1.3.8","MST",,false
MST-0.1.3.9,"MST-0.1.3.9",false,"0",,,,,,,"Fault (9)",false,false,"0",false,"MST-0.1.3.9","MST",,false
MST-0.1.5.25,"MST-0.1.5.25",false,"0",,,,,,,"Module Failed",false,false,"0",false,"MST-0.1.5.25","MST",,false
MST-0.1.5.26,"MST-0.1.5.26",false,"0",,,,,,,"Missing 24V",false,false,"0",false,"MST-0.1.5.26","MST",,false
MST-0.1.5.57,"MST-0.1.5.57",false,"0",,,,,,,"Under Range Error (1)",false,false,"0",false,"MST-0.1.5.57","MST",,false
MST-0.1.5.58,"MST-0.1.5.58",false,"0",,,,,,,"Under Range Error (2)",false,false,"0",false,"MST-0.1.5.58","MST",,false
MST-0.1.5.59,"MST-0.1.5.59",false,"0",,,,,,,"Under Range Error (3)",false,false,"0",false,"MST-0.1.5.59","MST",,false
MST-0.1.5.60,"MST-0.1.5.60",false,"0",,,,,,,"Under Range Error (4)",false,false,"0",false,"MST-0.1.5.60","MST",,false
MST-0.1.5.61,"MST-0.1.5.61",false,"0",,,,,,,"Under Range Error (5)",false,false,"0",false,"MST-0.1.5.61","MST",,false
MST-0.1.5.62,"MST-0.1.5.62",false,"0",,,,,,,"Under Range Error (6)",false,false,"0",false,"MST-0.1.5.62","MST",,false
MST-0.1.5.63,"MST-0.1.5.63",false,"0",,,,,,,"Under Range Error (7)",false,false,"0",false,"MST-0.1.5.63","MST",,false
MST-0.1.5.64,"MST-0.1.5.64",false,"0",,,,,,,"Under Range Error (8)",false,false,"0",false,"MST-0.1.5.64","MST",,false
MST-0.1.5.89,"MST-0.1.5.89",false,"0",,,,,,,"Over Range Error (1)",false,false,"0",false,"MST-0.1.5.89","MST",,false
MST-0.1.5.90,"MST-0.1.5.90",false,"0",,,,,,,"Over Range Error (2)",false,false,"0",false,"MST-0.1.5.90","MST",,false
MST-0.1.5.91,"MST-0.1.5.91",false,"0",,,,,,,"Over Range Error (3)",false,false,"0",false,"MST-0.1.5.91","MST",,false
